Filename,File Type,File Size (MB),Total HDUs,Instrument,Telescope,Observation Date,Object,Creator
AL1_SOLEXS_20251212_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251212_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251013_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251013_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251114_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251114_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251201_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251201_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20250911_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20250911_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.3
AL1_SOLEXS_20251113_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251113_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251122_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251122_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251217_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251217_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251121_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20251121_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260513_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260513_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260624_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260624_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240503_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240503_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260614_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260614_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260617_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260617_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240529_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240529_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260516_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260516_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240510_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240510_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260521_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260521_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260620_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260620_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260618_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260618_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260517_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260517_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260621_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260621_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240504_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240504_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260613_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260613_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240517_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240517_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240418_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240418_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260622_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260622_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260608_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260608_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260508_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260508_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260520_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260520_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240417_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240417_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240420_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240420_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260601_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260601_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240416_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240416_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240521_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240521_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240523_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240523_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260611_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260611_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260531_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260531_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240415_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240415_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260509_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260509_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260623_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260623_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240421_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240421_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260528_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260528_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260510_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260510_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260610_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260610_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260515_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260515_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240419_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240419_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260526_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260526_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240528_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240528_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260406_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260406_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240310_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20240310_SDD2_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
AL1_SOLEXS_20260505_SDD1_L1.gti,.gti,0.01,2,SoLEXS,AL1,N/A,N/A,solexs_pipeline-1.4
